month_index,year_frac,demand_af_month,storage_cachuma_af,storage_gibraltar_af,storage_swp_af,desal_production_af_month,release_cachuma_af_month,release_gibraltar_af_month,release_swp_af_month,desal_max_capacity_af_month,desal_cost_usd_month,jrisk_months_supply,risk_plotted_neg_jrisk,deficit_af_month,drought,case,hydrologic_scenario_index,pareto_policy_index,timeseries_slot,source
0,0.0,902.98,15000.0,2000.0,4500.0,282.5643600727215,280.4643986447785,37.39525315263714,84.13931959343356,282.5643600727215,998671.1774432366,26.62636276641593,-26.62636276641593,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
1,0.08333333333333333,807.26,14719.535601355221,2048.9987468473632,4415.860680406567,282.5643600727215,126.47209140342368,17.605253576948535,37.94162742102711,282.5643600727215,998671.1774432366,27.001670122256286,-27.001670122256286,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
2,0.16666666666666666,1001.5,14593.063509951797,2512.0134932704145,4377.91905298554,282.5643600727215,236.125342412047,40.64602650688513,70.83760272361411,282.5643600727215,998671.1774432366,29.177368849832327,-29.177368849832327,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
3,0.25,1136.0,14356.938167539749,4550.0,4307.081450261925,282.5643600727215,335.68697935444266,106.3858977616848,100.70609380633282,282.5643600727215,998671.1774432366,27.23676378992951,-27.23676378992951,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
4,0.3333333333333333,1356.8,14021.251188185306,3442.4141022383155,4206.375356455592,282.5643600727215,577.6071539032954,141.81066906681556,173.28214617098863,282.5643600727215,1053981.369941269,30.626957260248286,-30.626957260248286,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
5,0.4166666666666667,1331.0,13443.644034282011,4550.0,6373.693210284604,282.5643600727215,408.30164152304053,138.18965037994278,193.5776783204933,282.5643600727215,1053981.369941269,29.564337124642112,-29.564337124642112,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
6,0.5,1503.9,13035.34239275897,4306.4403496200575,6180.115531964111,282.5643600727215,577.475019923668,190.7783970506492,273.7835518562228,282.5643600727215,1053981.369941269,28.100936367543245,-28.100936367543245,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
7,0.5833333333333334,1526.9,12457.867372835302,3993.3919525694077,5906.331980107889,282.5643600727215,644.5415664668441,203.56323092176012,231.15017104476595,282.5643600727215,1053981.369941269,26.669381323436266,-26.669381323436266,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
8,0.6666666666666666,1405.5,11813.325806368459,3730.1137216476473,5675.181809063123,282.5643600727215,530.9978265380836,167.66508529435586,255.094056933267,282.5643600727215,1053981.369941269,25.308642988821028,-25.308642988821028,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
9,0.75,1281.8,11282.327979830376,3433.5786363532916,5420.087752129856,282.5643600727215,473.34520992707144,144.05431249040782,227.39744664767562,282.5643600727215,1053981.369941269,35.235462032949336,-35.235462032949336,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
10,0.8333333333333334,1019.0,19608.982769903305,3232.2703238628837,5192.6903054821805,282.5643600727215,375.9680450500642,61.9731461338858,99.56078015933629,282.5643600727215,998671.1774432366,34.50220250414294,-34.50220250414294,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
11,0.9166666666666666,915.54,19233.01472485324,3124.4051777289983,5093.1295253228445,230.46338709940795,283.48682221565144,46.052462800018986,75.07065974429547,282.5643600727215,963552.8717687962,35.84334645798561,-35.84334645798561,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
12,1.0,902.98,18949.52790263759,4550.0,5018.058865578549,179.27308173093985,287.3902207613403,69.00570352900927,76.10432579543514,282.5643600727215,924847.6209883138,35.38647536739445,-35.38647536739445,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
13,1.0833333333333333,807.26,18662.13768187625,4550.0,4941.954539783113,90.96398197798923,408.80728963176284,99.67095943306282,108.25700009994799,282.5643600727215,870572.7529167789,34.73658466561312,-34.73658466561312,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
14,1.1666666666666667,1001.5,18253.330392244487,4550.0,4833.697539683166,61.303637233266954,547.8766175919242,136.56897434467177,145.08420116195455,282.5643600727215,851312.1046903112,33.536083136570824,-33.536083136570824,0.0,pers87_sev0.83n_4,basetariff_baseline/3mpd_30vessels,0,100,midfront_primary,run_all_cases.py
